Cement (kg/m^3),Flyash(kg/m^3),Water/powder,Sand(kg/m^3),Coarse Aggregate(kg/m^3),Superplasticizer,Compressive Strength (Mpa)
500,0,0.28,853,966,0.01,67.57
325,120,0.75,755,850,0.43,32.2
154.8,142.8,0.65,867.7,877.2,0.06,9.74
155,143,0.65,868,877,0.06,9.74
500,101,0.32,820,753,0.38,70.93
382,0,0.49,739,1047,0,37.42
150.7,185.3,0.5,678,1047.5,0.1,13.46
382.5,0,0.49,739.3,1047.8,0.11,37.44
151,185,0.5,678,1074,1.36,13.46
225,525,0.33,487,620,0.04,34.83
275.07,121.35,0.4,777.5,1053.6,0,51.33
349,0,0.55,809,1056,0.03,33.61
313,113,0.42,689,1002,0.03,36.8
313.3,113,0.42,688.7,1001.9,0.9,36.8
348,224,0.31,783,848,0.03,58.6
420,180,0.32,900,750,0,79.19
276,184,0.35,693.81,1085.2,0.05,56
385,136,0.3,768,903,0,56.55
382,0,0.48,739,1047,0.69,37.42
440,110,0.32,714,917,0.29,69.8
349,162,0.39,779,852,0,59.9
349,0,0.55,806,1047,0.09,32.72
477,53,0.45,768,668,0.05,32.19
212.57,100.39,0.51,903.79,1003.8,0.43,37.4
325,0,0.55,1042,850,0,41.2
397,0,0.47,734,1040,0.5,39.09
250,160,0.72,566,837,0.62,11
370,24,0.69,770,850,0,18.7
236,0,0.82,885,968,0,18.42
250,160,0.34,739,837,0.28,27.3
197,197,0.35,856,856,0.5,38.9
237,133,0.43,960,900,0.16,46
350,133,0.52,815,883,0.84,55.3
165,385,0.58,735,865,0.03,37.92
312.7,0,0.57,822.2,999.7,0.01,25.1
317,160,0.37,594,837,0.03,29.1
313,0,0.57,822,1000,0.3,25.1
350,90,0.39,852,923,0.3,46.5
313.8,112.6,0.4,782.9,925.3,0.03,38.46
380,20,0.38,1180,578,0.4,40.4
407,244,0.28,815,761,0.02,70.4
314,113,0.4,783,925,0.03,38.46
248,203,0.39,808,900,0.35,50
